Unique ID,Job Title,Salary Estimate,Company Rating,Company Name,Company Location,Headquarters Location,Number of Employees,Date Founded,Type of Ownership,Industry,Sector,Revenue (USD),Quality Score
567,Data Analyst,"$53,500.00",2.9,Arize Corporation,CA,New York,201-500 Employees,Unknown,Company - Private,Publishing,Media,"$50,000,000-$100,000,000",2.94
568,Data Analyst,"$53,500.00",2.8,SAG-AFTRA Health Plan and SAG-Producers Pension Plan,CA,Burbank,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,2.88
569,Data Analyst,"$53,500.00",3.1,Computershare,CA,Melbourne,10000+ Employees,1978,Company - Public,Financial Transaction Processing,Finance,"$2,000,000,000-$5,000,000,000",3.06
570,Junior Data Analyst,"$53,500.00",5.0,"Staffigo Technical Services, LLC",CA,Woodridge,51-200 Employees,2008,Company - Private,IT Services,Information Technology,"$50,000,000-$100,000,000",4.2
571,Data Analyst,"$80,000.00",3.2,Cenergy International,CA,Houston,51-200 Employees,Unknown,Company - Private,Consulting,Business Services,"$10,000,000-$25,000,000",4.71
572,Marketing Data Analyst,"$80,000.00",5.0,Scale Media,CA,Sherman Oaks,1-50 Employees,Unknown,Company - Public,Advertising & Marketing,Business Services,Unknown,5.79
573,Data and Policy Analyst - Writer/Coordinator,"$80,000.00",3.2,Acumen,CA,Burlingame,201-500 Employees,1996,Company - Private,Federal Agencies,Government,"$10,000,000-$25,000,000",4.71
574,Sr. Data/Report System Analyst,"$80,000.00",3.9,Cedars-Sinai,CA,Los Angeles,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$2,000,000,000-$5,000,000,000",5.13
575,Equity Data/Research Analyst,"$80,000.00",Unknown,Selby Jennings Buyside,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.99
576,Senior Data Analyst,"$80,000.00",4.5,Mobilityware,CA,Irvine,51-200 Employees,1990,Company - Private,Video Games,Media,Unknown,5.49
577,Data Analyst,"$80,000.00",3.9,Acorns,CA,Irvine,201-500 Employees,Unknown,Company - Private,Brokerage Services,Finance,Unknown,5.13
578,Data Analyst - (Python),"$80,000.00",5.0,LEAPROS,CA,Dana Point,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,5.79
579,Data Analyst / Developer,"$80,000.00",Unknown,Kforce Technology Staffing,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.99
580,Data Analyst I,"$80,000.00",3.1,L.A. Care Health Plan,CA,Los Angeles,1001-5000 Employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,4.65
581,Senior Data Analyst,"$80,000.00",3.6,Superior Court of California County of Los Angeles,CA,Los Angeles,1001-5000 Employees,Unknown,Government,Municipal Governments,Government,Unknown,4.95
582,Senior Data Analyst,"$80,000.00",3.3,Tillster,CA,San Diego,51-200 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,"$25,000,000-$50,000,000",4.77
583,Billingual Chinese - Data Analyst,"$80,000.00",3.7,Tripalink,CA,Los Angeles,1-50 Employees,2016,Company - Public,Real Estate,Real Estate,Unknown,5.01
584,Senior Data Analyst,"$80,000.00",4.6,TutorMe,CA,Los Angeles,51-200 Employees,2015,Subsidiary or Business Segment,Colleges & Universities,Education,Unknown,5.55
585,Reporting Data Analyst,"$80,000.00",4.5,Century Group (CA),CA,El Segundo,51-200 Employees,1989,Company - Private,Staffing & Outsourcing,Business Services,Unknown,5.49
586,Public Policy Data Analyst,"$80,000.00",3.9,"Netflix, Inc.",CA,Los Gatos,1001-5000 Employees,1997,Company - Public,Internet,Information Technology,"$5,000,000,000-$10,000,000,000",5.13
587,Epidemiologist Data Analyst-Urology,"$80,000.00",3.8,UC Davis Medical Center,CA,Sacramento,10000+ Employees,Unknown,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$2,000,000,000-$5,000,000,000",5.07
588,Data Analyst I,"$80,000.00",3.0,Tarzana,CA,Tarzana,501-1000 Employees,1971,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"$25,000,000-$50,000,000",4.59
589,Data Systems Analyst,"$80,000.00",3.9,STAND 8 Technology Services,CA,Los Angeles,51-200 Employees,2009,Company - Private,Consulting,Business Services,"$10,000,000-$25,000,000",5.13
590,"Data Analyst, Predictive Analytics","$80,000.00",3.4,Internet Brands,CA,El Segundo,1001-5000 Employees,1998,Company - Private,Internet,Information Technology,"$1,000,000,000-$2,000,000,000",4.83
591,Data Reporting Analyst,"$80,000.00",3.5,Robert Half,CA,Menlo Park,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,"$2,000,000,000-$5,000,000,000",4.89
592,Senior Data Analyst,"$80,000.00",4.0,Fox Corporation,CA,New York,5001-10000 Employees,2019,Company - Public,TV Broadcast & Cable Networks,Media,Unknown,5.19
593,Business Data Analyst,"$80,000.00",5.0,Connect International,CA,West Roxbury,1-50 Employees,Unknown,Nonprofit Organization,Unknown,Unknown,Unknown,5.79
594,Business Data Analyst,"$80,000.00",4.5,PUBG Santa Monica,CA,Seoul,501-1000 Employees,2017,Company - Private,Video Games,Media,Unknown,5.49
595,Epidemiologist Data Analyst-Urology,"$80,000.00",4.0,UCLA Health,CA,Los Angeles,5001-10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown,5.19
596,Mid-Senior Data Analyst,"$80,000.00",3.5,Robert Half,CA,Menlo Park,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Services,"$2,000,000,000-$5,000,000,000",4.89
597,Associate Player Support Data Analyst,"$80,000.00",3.4,Activision Blizzard,CA,Santa Monica,10000+ Employees,1979,Company - Public,Video Games,Media,"$5,000,000,000-$10,000,000,000",4.83
598,BI/Data Analyst,"$80,000.00",2.1,The Loot Company,CA,Los Angeles,201-500 Employees,2012,Company - Private,Other Retail Stores,Retail,Unknown,4.05
599,"Sr. Data Analyst, Ad Operations","$80,000.00",3.8,System1,CA,Venice,201-500 Employees,2013,Company - Private,Internet,Information Technology,Unknown,5.07
600,Data Analyst Junior,"$40,000.00",5.0,"Staffigo Technical Services, LLC",CA,Woodridge,51-200 Employees,2008,Company - Private,IT Services,Information Technology,"$50,000,000-$100,000,000",3.39
601,"Customer Insights Manager, Senior Data Analyst | Mobile","$40,000.00",Unknown,Elever Professional,CA,Austin,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,0.56
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,"$40,000.00",4.0,Kaiser Permanente,CA,Oakland,10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$10,000,000,000+",2.79
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)","$40,000.00",3.8,ZS Associates,CA,Evanston,5001-10000 Employees,1983,Company - Private,Consulting,Business Services,Unknown,2.67
604,Financial Data Analyst,"$40,000.00",3.8,Tecolote Research,CA,Goleta,501-1000 Employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,"$50,000,000-$100,000,000",2.67
605,Enterprise Data Quality Analyst - EDM,"$40,000.00",3.6,City National Bank,CA,Los Angeles,1001-5000 Employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown,2.55
606,Survey Data Analyst,"$40,000.00",4.9,Cypress HCM,CA,Walnut Creek,51-200 Employees,2005,Company - Private,Staffing & Outsourcing,Business Services,Unknown,3.33
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,"$40,000.00",Unknown,"Infonex Technologies, Inc.",CA,Santa Clara,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,0.56
608,Data Analyst Manager,"$40,000.00",Unknown,Oakwood Search - CHURN,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.56
609,Enterprise Data Analyst,"$40,000.00",3.6,City National Bank,CA,Los Angeles,1001-5000 Employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown,2.55
610,MEDIA DATA ANALYST,"$40,000.00",Unknown,Bloom Ads Global Media Group,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.56
611,Data Analyst - Personalization,"$40,000.00",3.4,"Internet Brands, Inc.",CA,El Segundo,1001-5000 Employees,1998,Company - Private,Internet,Information Technology,"$1,000,000,000-$2,000,000,000",2.43
612,Data Systems Analyst III,"$40,000.00",Unknown,ESP Legal,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.56
613,Data Analyst / Developer,"$40,000.00",4.1,Kforce,CA,Tampa,10000+ Employees,1966,Company - Public,Staffing & Outsourcing,Business Services,"$1,000,000,000-$2,000,000,000",2.85
614,Senior Data Bi Analyst,"$40,000.00",3.4,"Apollo Medical Holdings, Inc.",CA,Sandy,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,"<$1,000,000",2.43
615,"Operations Analyst, Data Governance","$40,000.00",3.7,Turner Broadcasting,CA,New York,10000+ Employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,"$10,000,000,000+",2.61
616,"Analyst, Data (Pharmacy & SQL)","$40,000.00",3.1,Molina Healthcare,CA,Long Beach,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,"$10,000,000,000+",2.25
617,"Sr. Business Analyst, Data Science and Analytics","$40,000.00",3.0,Beautycounter,CA,Santa Monica,201-500 Employees,2013,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown,2.19
618,Enterprise Data Quality Analyst - EDM,"$40,000.00",3.5,Genuent,CA,Houston,201-500 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,"$100,000,000-$500,000,000",2.49
619,Microsoft Dynamics CRM Data Analyst,"$40,000.00",3.7,IBM,CA,Armonk,10000+ Employees,1911,Company - Public,IT Services,Information Technology,"$10,000,000,000+",2.61
620,"Marketing Data Analyst, Teleflora","$40,000.00",3.6,The Wonderful Company LLC,CA,Los Angeles,5001-10000 Employees,1980,Company - Private,Consumer Products Manufacturing,Manufacturing,"$2,000,000,000-$5,000,000,000",2.55
621,Senior Customer Data Analyst : 20,"$40,000.00",4.6,Akraya Inc.,CA,Santa Clara,51-200 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,"$25,000,000-$50,000,000",3.15
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,"$40,000.00",Unknown,Catasys Health,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.56
623,Senior Data Analyst - User Growth,"$40,000.00",3.8,TikTok,CA,Los Angeles,1001-5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown,2.67
624,Automotive Data Analyst,"$40,000.00",2.7,MotorTrend Group,CA,Los Angeles,501-1000 Employees,1948,Company - Public,TV Broadcast & Cable Networks,Media,Unknown,2.01
625,Data Analyst - Product,"$40,000.00",3.4,Mercury Insurance Group,CA,Los Angeles,1001-5000 Employees,1961,Company - Public,Insurance Carriers,Insurance,"$2,000,000,000-$5,000,000,000",2.43
626,"Sr. Analyst, Data","$40,000.00",3.1,Molina Healthcare,CA,Long Beach,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,"$10,000,000,000+",2.25
627,Senior Data Insights Analyst,"$40,000.00",Unknown,Endpoint Closing,CA,El Segundo,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,0.56
628,Bilingual (Chinese) Data Analyst,"$54,000.00",3.7,Tripalink,CA,Los Angeles,1-50 Employees,2016,Company - Public,Real Estate,Real Estate,Unknown,3.45
629,Systems and Data Analyst - SQL,"$54,000.00",Unknown,Ottimo Resources,CA,Carson,Unknown,Unknown,Company - Public,Unknown,Unknown,Unknown,1.76
630,Data Entry Analyst,"$54,000.00",3.6,Ajilon,CA,Jacksonville,1001-5000 Employees,1994,Company - Public,Staffing & Outsourcing,Business Services,"$100,000,000-$500,000,000",3.39
631,"Sr Analyst, Data Operations","$54,000.00",5.0,WB Technology,CA,Bishnupur ,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,4.23
632,Data Intelligence Analyst II,"$54,000.00",4.0,Prosum,CA,El Segundo,201-500 Employees,1996,Company - Private,IT Services,Information Technology,"$25,000,000-$50,000,000",3.63
633,Business Analyst / Data Analyst with Financial Industry Experience,"$54,000.00",3.0,INSPIRE IT Solutions,CA,Hyderabad,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,3.03
634,Sr. Data Analyst,"$54,000.00",3.3,Saicon Consultants Inc,CA,Overland Park,201-500 Employees,1998,Company - Private,Computer Hardware & Software,Information Technology,"$25,000,000-$50,000,000",3.21
635,Investment Reporting Data Analyst,"$54,000.00",Unknown,"Recruiting Resources, Inc.",CA,Los Angeles,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,1.76
636,Jr. Data Analyst (Jr. DA),"$54,000.00",4.0,"Prime MSO, LLC.",CA,Dayton,1-50 Employees,Unknown,Company - Private,Health Care Services & Hospitals,Health Care,"$1,000,000-$5,000,000",3.63
637,Sr. Business Data Analyst,"$54,000.00",4.9,KORE1 Technologies,CA,Irvine,51-200 Employees,2005,Company - Private,Staffing & Outsourcing,Business Services,"$10,000,000-$25,000,000",4.17
638,Data Reporting Analyst,"$54,000.00",3.6,Axelon Services Corporation,CA,New York,501-1000 Employees,Unknown,Company - Private,Staffing & Outsourcing,Business Services,"$100,000,000-$500,000,000",3.39
639,Pricing Data Analyst,"$54,000.00",3.6,City National Corporation,CA,Los Angeles,1001-5000 Employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown,3.39
640,Senior Data Engineer & Analyst,"$54,000.00",5.0,Pddn,CA,Fremont,51-200 Employees,Unknown,Company - Private,"Health, Beauty, & Fitness",Consumer Services,"<$1,000,000",4.23
641,Principal Data Management Analyst,"$54,000.00",3.8,Northrop Grumman,CA,Falls Church,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,"$10,000,000,000+",3.51
642,Sr. Data Analyst,"$54,000.00",4.3,"ConsultNet, LLC",CA,South Jordan,201-500 Employees,1996,Company - Private,Staffing & Outsourcing,Business Services,"$50,000,000-$100,000,000",3.81
643,Sr Data Analyst (DW),"$54,000.00",4.2,"Aviana Global Technologies, Inc",CA,Brea,1-50 Employees,1994,Company - Private,IT Services,Information Technology,"$10,000,000-$25,000,000",3.75
644,"Data Analyst, Product","$54,000.00",3.9,Jam City,CA,Los Angeles,501-1000 Employees,2010,Company - Private,Video Games,Media,Unknown,3.57
645,"Digital Media Data Analyst, Apple TV+","$54,000.00",4.1,Apple,CA,Cupertino,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,"$10,000,000,000+",3.69
646,Data Intelligence Analyst,"$54,000.00",3.4,"EMINENT, INC.",CA,Williamsville,1-50 Employees,Unknown,Company - Private,IT Services,Information Technology,"$1,000,000-$5,000,000",3.27
647,"Operations Analyst, Data Governance","$54,000.00",5.0,WB Technology,CA,Bishnupur ,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,4.23
648,Sr. Data Analyst,"$54,000.00",3.8,Dollar Shave Club,CA,Marina del Rey,201-500 Employees,2011,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown,3.51
649,Data Technician/Analyst/Specialist,"$54,000.00",3.5,"Leo Tech, LLC",CA,Singapore,51-200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,3.33
650,Senior Data Analyst,"$54,000.00",3.8,TikTok,CA,Los Angeles,1001-5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown,3.51
651,Research Data Analyst,"$54,000.00",Unknown,"Recargo, Inc., makers of PlugShare",CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.76
652,【1yr OPT+Intern】Data Analyst 保实习保就业,"$54,000.00",Unknown,Easyfind Company,CA,Noida,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,1.76
653,Heightened Standards Data Analyst,"$54,000.00",3.6,City National Bank,CA,Los Angeles,1001-5000 Employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown,3.39
654,Corporate: Data Analyst,"$54,000.00",3.4,"U.S. Auto Parts Network, Inc.",CA,Carson,1001-5000 Employees,1995,Company - Public,Automotive Parts & Accessories Stores,Retail,"$100,000,000-$500,000,000",3.27
655,Sr Data Analyst,"$54,000.00",3.1,MyLife.com,CA,Los Angeles,1-50 Employees,2002,Company - Private,Internet,Information Technology,"$10,000,000-$25,000,000",3.09
656,Data Analyst I- ON SITE POSITION,"$54,000.00",1.0,Center for Family Health and Education,CA,Panorama City,1-50 Employees,Unknown,Company - Public,Unknown,Unknown,Unknown,1.83
657,"Analyst, Data","$54,000.00",3.1,Molina Healthcare,CA,Long Beach,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,"$10,000,000,000+",3.09
658,Senior Data Analyst,"$73,000.00",4.7,DISQO,CA,Glendale,51-200 Employees,2014,Company - Private,Research & Development,Business Services,Unknown,5.19
659,Credit Data Analyst,"$73,000.00",Unknown,Dot 818,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.39
660,Sr Performance Metrics Data Analyst,"$73,000.00",Unknown,BBCN Bank,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.39
661,Sr. Data Analyst,"$73,000.00",Unknown,Launch Infotech,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.39
662,Junior Data Analyst,"$73,000.00",3.9,Tech Air,CA,Danbury,201-500 Employees,1935,Company - Private,Industrial Manufacturing,Manufacturing,"$100,000,000-$500,000,000",4.71
663,SENIOR DATA BI ANALYST,"$73,000.00",2.5,Network Medical Management Inc,CA,Alhambra,501-1000 Employees,1994,Company - Public,Health Care Services & Hospitals,Health Care,Unknown,3.87
664,Data Analyst - MS Access & Excel,"$73,000.00",3.5,Midcom,CA,Anaheim,51-200 Employees,1979,Company - Private,Consulting,Business Services,"$10,000,000-$25,000,000",4.47
665,Data Analyst (Asset Management / eDiscovery),"$73,000.00",3.8,Odesus,CA,Los Angeles,51-200 Employees,2001,Company - Private,Consulting,Business Services,"$5,000,000-$10,000,000",4.65
666,Jr. Data Analyst,"$73,000.00",3.8,Login Consulting Services,CA,El Segundo,51-200 Employees,Unknown,Company - Private,Consulting,Business Services,"$5,000,000-$10,000,000",4.65
667,Sr. Data Analyst,"$73,000.00",4.0,Unilever,CA,London,10000+ Employees,1872,Company - Public,Consumer Products Manufacturing,Manufacturing,"$10,000,000,000+",4.77
668,"Data Analyst - Health, Experienced","$73,000.00",4.1,Blue Shield of California,CA,Oakland,5001-10000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,"$10,000,000,000+",4.83
669,Product/Data Analyst,"$73,000.00",Unknown,Clear Technology Consulting,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.39
670,Junior Data Analyst,"$73,000.00",3.8,Airgas,CA,Radnor,10000+ Employees,1982,Company - Public,Chemical Manufacturing,Manufacturing,"$5,000,000,000-$10,000,000,000",4.65
671,Reporting Data Analyst,"$73,000.00",3.0,Apollo Global Management,CA,New York,1001-5000 Employees,1990,Company - Public,Venture Capital & Private Equity,Finance,"$1,000,000,000-$2,000,000,000",4.17
672,Data Intelligence Analyst,"$73,000.00",3.3,Revolve,CA,Cerritos,201-500 Employees,2003,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown,4.35
673,"Data Analyst-Cerritos, CA","$73,000.00",5.0,Georgia IT Inc.,CA,Alpharetta,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,"<$1,000,000",5.37
674,Digital Marketing Data Analyst,"$73,000.00",Unknown,"Recargo, Inc., makers of PlugShare",CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.39
675,Sr Performance Metrics Data Analyst,"$73,000.00",2.6,Bank Of Hope,CA,Los Angeles,201-500 Employees,Unknown,Company - Public,Unknown,Unknown,"$100,000,000-$500,000,000",3.93
676,Student Data Compliance Analyst,"$73,000.00",3.3,KIPP SoCal Public Schools,CA,Los Angeles,1001-5000 Employees,2003,Nonprofit Organization,K-12 Education,Education,"$50,000,000-$100,000,000",4.35
677,Data Quality Control Analyst,"$73,000.00",3.5,Genuent,CA,Houston,201-500 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,"$100,000,000-$500,000,000",4.47
678,Senior Data Management Analyst,"$73,000.00",3.0,Apollo Global Management,CA,New York,1001-5000 Employees,1990,Company - Public,Venture Capital & Private Equity,Finance,"$1,000,000,000-$2,000,000,000",4.17
679,Sr. Data Analyst,"$73,000.00",2.8,SAG-AFTRA Health Plan and SAG-Producers Pension Plan,CA,Burbank,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,4.05
680,Data Analyst HEDIS Star,"$73,000.00",3.2,SCAN Health Plan,CA,Long Beach,501-1000 Employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,"$2,000,000,000-$5,000,000,000",4.29
681,Senior Data Analyst,"$73,000.00",4.7,PlayQ,CA,Santa Monica,51-200 Employees,2007,Company - Private,Video Games,Media,Unknown,5.19
682,Sr. Data Analyst,"$73,000.00",3.1,Molina Healthcare,CA,Long Beach,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,"$10,000,000,000+",4.23
683,SAP Master Data Analyst,"$73,000.00",2.5,"NetSource, Inc.",CA,Bolton,51-200 Employees,Unknown,Company - Private,Consumer Products Manufacturing,Manufacturing,"$10,000,000-$25,000,000",3.87
684,Service Operations Data Analyst,"$73,000.00",3.3,"Quinn Group, Inc.",CA,City of Industry,501-1000 Employees,1919,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown,4.35
685,Data Analyst I,"$73,000.00",Unknown,"zz-Tarzana Treatment Centers, Inc.",CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.39
686,Senior Data Management Analyst,"$73,000.00",Unknown,"Recruiting Resources, Inc.",CA,Los Angeles,1-50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,3.39
687,System and Data Analyst,"$122,500.00",2.9,Pacific Clinics,CA,Arcadia,501-1000 Employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$50,000,000-$100,000,000",7.09
688,Service Operations Data Analyst,"$122,500.00",5.0,Quinn Group,CA,Taipei,51-200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,8.35
689,SAP Master Data Analyst,"$122,500.00",Unknown,DT Professional Services,CA,Canoga Park,1-50 Employees,2013,Company - Public,Unknown,Unknown,"<$1,000,000",7.64
690,Business Analyst Asset Data Management,"$122,500.00",4.0,NRC INC,CA,Boca Raton,51-200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown,7.75
691,Sr Digital Marketing Data Analyst (PAID SOCIAL),"$122,500.00",5.0,LaBine & Associates,CA,San Mateo,1-50 Employees,2013,Company - Private,Staffing & Outsourcing,Business Services,Unknown,8.35
692,19-0574 - Service Operations Data Analyst,"$122,500.00",3.3,Quinn Company CAT,CA,City of Industry,501-1000 Employees,1919,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown,7.33
693,Discovery Data Analyst,"$122,500.00",2.9,"NTT DATA, Inc.",CA,Singapore,201-500 Employees,Unknown,Company - Private,Accounting,Accounting & Legal,Unknown,7.09
694,"Analyst, Financial Master Data","$122,500.00",5.0,WB Technology,CA,Bishnupur ,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown,8.35
695,Data Analyst-HEDIS & Star,"$122,500.00",3.2,SCAN Health Plan,CA,Long Beach,501-1000 Employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,"$2,000,000,000-$5,000,000,000",7.27
696,Music Copyright Data Analyst,"$122,500.00",3.3,AppleOne,CA,Glendale,1001-5000 Employees,1964,Company - Private,Staffing & Outsourcing,Business Services,"$1,000,000,000-$2,000,000,000",7.33
697,Sr. Data Analyst,"$122,500.00",3.8,Login Consulting Services,CA,El Segundo,51-200 Employees,Unknown,Company - Private,Consulting,Business Services,"$5,000,000-$10,000,000",7.63
698,Sr. Data Analyst,"$122,500.00",Unknown,Shapestone Inc.,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.64
699,Sr. Data Governance Analyst,"$122,500.00",4.0,Lorven Technologies Inc,CA,Plainsboro,1-50 Employees,Unknown,Company - Private,Accounting,Accounting & Legal,"<$1,000,000",7.75
700,"Data Analyst - Health, Senior","$122,500.00",4.1,Blue Shield of California,CA,Oakland,5001-10000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,"$10,000,000,000+",7.81
701,Data Analyst-HEDIS & Star,"$122,500.00",Unknown,SCAN Healthplan,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.64
702,Data Entry Clerk and Analyst - Financial,"$122,500.00",2.8,Information Technology Partners,CA,Chicago,51-200 Employees,1991,Company - Private,IT Services,Information Technology,"$10,000,000-$25,000,000",7.03
703,"Analyst, Financial Master Data","$122,500.00",3.9,Warner Bros. Entertainment,CA,Burbank,5001-10000 Employees,1923,Company - Public,Motion Picture Production & Distribution,Media,"$10,000,000,000+",7.69
704,Senior Clinical Data Analyst,"$122,500.00",3.4,Providence Health & Services,CA,Renton,10000+ Employees,1855,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$100,000,000-$500,000,000",7.39
705,Sr. Data Analyst (Pharmacy),"$122,500.00",3.1,Molina Healthcare,CA,Long Beach,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,"$10,000,000,000+",7.21
706,"Sr Analyst, Data","$122,500.00",3.1,Molina Healthcare,CA,Long Beach,10000+ Employees,1980,Company - Public,Insurance Carriers,Insurance,"$10,000,000,000+",7.21
707,Systems and Data Analyst,"$122,500.00",2.4,To Help Everyone Health & Wellness Centers,CA,Los Angeles,201-500 Employees,Unknown,Nonprofit Organization,Unknown,Unknown,Unknown,6.79
708,"Analyst, Financial Master Data","$122,500.00",3.7,Turner Broadcasting,CA,New York,10000+ Employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,"$10,000,000,000+",7.57
709,Copyright Data Analyst,"$122,500.00",3.3,AppleOne,CA,Glendale,1001-5000 Employees,1964,Company - Private,Staffing & Outsourcing,Business Services,"$1,000,000,000-$2,000,000,000",7.33
710,LIMS Master Data Analyst,"$122,500.00",4.6,USDM Life Sciences,CA,Santa Barbara,201-500 Employees,1999,Company - Private,Consulting,Business Services,Unknown,8.11
711,Data Analyst *Temp-Hire*,"$122,500.00",2.9,SkillsetGroup - Professional Staffing Solutions,CA,San Clemente,1-50 Employees,2013,Company - Private,Staffing & Outsourcing,Business Services,Unknown,7.09
712,"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS","$122,500.00",3.6,PIH Health,CA,Whittier,5001-10000 Employees,1959,Nonprofit Organization,Health Care Services & Hospitals,Health Care,"$1,000,000,000-$2,000,000,000",7.51
713,Radar Telemetry Data Analyst - RT,"$122,500.00",Unknown,KLM Careers,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.64
714,Sr. Data Analyst — US Safety,"$122,500.00",3.8,TikTok,CA,Los Angeles,1001-5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown,7.63
715,Data Analyst - Marketing Analytics,"$122,500.00",3.4,Mercury Insurance Group,CA,Los Angeles,1001-5000 Employees,1961,Company - Public,Insurance Carriers,Insurance,"$2,000,000,000-$5,000,000,000",7.39
716,Radar Telemetry Data Analyst,"$52,500.00",Unknown,TopTalentFetch,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.63
717,Radar Telemetry Data Analyst,"$52,500.00",Unknown,Stark HR Consulting LLC,CA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.63
